,precision,recall,f1-score,support
0,0.6996037743556227,0.6886333480760726,0.6940752147835955,24871.0
1,0.5640376062602038,0.5766994761986991,0.5702982695810564,17373.0
accuracy,0.6426001325632043,0.6426001325632043,0.6426001325632043,0.6426001325632043
macro avg,0.6318206903079133,0.6326664121373858,0.632186742182326,42244.0
weighted avg,0.6438516903124044,0.6426001325632043,0.6431714919116205,42244.0
