Sentiment,trades,mean_pnl,median_pnl,win_rate
Fear,83237,49.212077443108235,0.0,0.4078714994533681
Greed,90295,53.88228122956974,0.0,0.4203112021706628
Neutral,37686,34.30771839807886,0.0,0.3969909250119408
